#11035 Wien Observations at 12Z 09 Jul 2018
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1000.0    145                                                               
   62.0  19653  -52.7  -89.7      0   0.00     55     10  487.8  487.8  487.8
   58.0  20083  -52.5  -89.5      0   0.00    120     14  497.7  497.7  497.7
   55.0  20425  -52.4  -89.4      0   0.00    110     10  505.6  505.6  505.6
   54.0  20544  -52.3  -89.3      0   0.00    130     10  508.4  508.4  508.4
   51.0  20912  -52.2  -89.2      0   0.00     80     10  517.2  517.2  517.2
   50.0  21040  -52.1  -89.1      0   0.00     90     10  520.2  520.3  520.2
   49.0  21171  -52.1  -89.1      0   0.00     95     10  523.4  523.4  523.4
   48.0  21305  -52.0  -89.0      0   0.00     85     14  526.5  526.5  526.5
   45.0  21723  -51.9  -88.9      0   0.00    110     17  536.6  536.6  536.6
   43.0  22018  -51.8  -88.8      0   0.00    125     14  543.8  543.8  543.8
   41.0  22327  -51.8  -88.8      0   0.00     95     14  551.5  551.5  551.5
   39.0  22651  -51.7  -88.7      0   0.00    115     14  559.6  559.6  559.6
   37.0  22992  -51.6  -88.6      0   0.00    105     10  568.3  568.4  568.3
   36.0  23170  -51.5  -88.5      0   0.00     80     10  572.9  573.0  572.9
   35.3  23297  -51.5  -88.5      0   0.00     86     15  576.2  576.3  576.2
   33.0  23738  -50.4  -87.8      0   0.01    105     31  590.3  590.3  590.3
   30.0  24360  -48.9  -86.9      0   0.01    130     19  610.7  610.8  610.7
   28.0  24818  -48.0  -86.4      0   0.01    130     12  625.2  625.3  625.2
   27.0  25059  -47.6  -86.1      0   0.01     95     14  633.0  633.1  633.0
   24.0  25840  -46.1  -85.2      0   0.01     90     27  658.9  659.0  658.9
   23.0  26123  -45.6  -84.9      0   0.01    100     21  668.5  668.6  668.5
   21.0  26726  -44.5  -84.3      0   0.02     70     23  689.5  689.7  689.5
   20.0  27050  -43.9  -83.9      0   0.02    110     29  701.0  701.2  701.0
   17.0  28143  -42.9  -83.5      0   0.02     95     21  737.7  737.9  737.7
   16.0  28551  -42.5  -83.4      0   0.02    110     17  751.9  752.1  751.9
   15.6  28721  -42.3  -83.3      0   0.02    102     18  757.8  758.1  757.9
   15.0  28986  -42.7  -83.3      0   0.03     90     19  765.1  765.4  765.1
   14.1  29402  -43.3  -83.3      0   0.03    117     23  776.7  777.0  776.7
   14.0  29451  -43.1  -83.2      0   0.03    120     23  778.8  779.1  778.8
   11.0  31099  -37.8  -80.0      0   0.06     90     25  853.7  854.5  853.7
   10.0  31750  -35.7  -78.7      0   0.08     90     31  885.1  886.2  885.2
    9.0  32486  -34.7  -78.1      0   0.10     80     39  916.2  917.5  916.2
    8.0  33308  -33.5  -77.5      0   0.12                952.1  953.9  952.2

#Station information and sounding indices
#                             Station number: 11035
#                           Observation time: 180709/1200
#                           Station latitude: 48.25
#                          Station longitude: 16.36
#                          Station elevation: 200.0
#                            Showalter index: 1.43
#                               Lifted index: 1.14
#    LIFT computed using virtual temperature: 0.84
#                                SWEAT index: 140.11
#                                    K index: 29.80
#                         Cross totals index: 22.10
#                      Vertical totals index: 25.10
#                        Totals totals index: 47.20
#      Convective Available Potential Energy: 90.21
#             CAPE using virtual temperature: 116.18
#                      Convective Inhibition: -2.00
#             CINS using virtual temperature: -2.33
#                           Equilibrum Level: 605.66
# Equilibrum Level using virtual temperature: 594.50
#                   Level of Free Convection: 808.03
#             LFCT using virtual temperature: 808.03
#                     Bulk Richardson Number: 15.23
#          Bulk Richardson Number using CAPV: 19.61
#  Temp [K] of the Lifted Condensation Level: 281.03
#Pres [hPa] of the Lifted Condensation Level: 808.03
#     Mean mixed layer potential temperature: 298.70
#              Mean mixed layer mixing ratio: 8.34
#              1000 hPa to 500 hPa thickness: 5615.00
#Precipitable water [mm] for entire sounding: 27.03
